url,label
https://www.google.com,legitimate
https://www.microsoft.com,legitimate
https://www.apple.com,legitimate
https://www.amazon.com,legitimate
https://www.wikipedia.org,legitimate
https://www.python.org,legitimate
https://github.com,legitimate
https://www.mozilla.org,legitimate
https://www.cloudflare.com,legitimate
https://www.linkedin.com,legitimate
https://secure-login-account.example.com,phishing
http://verify-your-account.example.com,phishing
http://192.168.1.25/login,phishing
https://bank-security-update.example.com,phishing
http://free-gift-card.example.com/claim,phishing
https://account-payment-verification.example.com,phishing
http://login-confirm-otp.example.com,phishing
https://update-billing-information.example.com,phishing
http://secure-bank-login.example.com,phishing
https://verify-payment-account.example.com,phishing
